Image     Accelerator      Sampler      Configuration     Time        OS      Lot     Machine
bidir-bvh-halton.pbrt bvh halton bvh-halton 1012.4648508 Windows 3 MaquinaChen
bidir-kdtree-halton.pbrt kdtree halton kdtree-halton 1553.3844059 Windows 3 MaquinaChen
buddha-fractal-kdtree-sobol.pbrt kdtree sobol kdtree-sobol 267.2405996 Windows 3 MaquinaChen
buddha-fractal-bvh-sobol.pbrt bvh sobol bvh-sobol 197.1323586 Windows 3 MaquinaChen
buddha-fractal-kdtree-halton.pbrt kdtree halton kdtree-halton 279.5893232 Windows 3 MaquinaChen
spotfog-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  273.601980653  UbuntuNative  3  MaquinaChen
buddha-fractal-bvh-sobol.pbrt  bvh  sobol bvh-sobol  168.782132040  UbuntuNative  3  MaquinaChen
bidir-kdtree-halton.pbrt  kdtree  halton kdtree-halton  1207.756754887  UbuntuNative  3  MaquinaChen
spotfog-bvh-halton.pbrt  bvh  halton bvh-halton  227.673079261  UbuntuNative  3  MaquinaChen
buddha-fractal-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  223.921415164  UbuntuNative  3  MaquinaChen
spotfog-bvh-sobol.pbrt  bvh  sobol bvh-sobol  222.646676076  UbuntuNative  3  MaquinaChen
teapot-metal-bvh-halton.pbrt  bvh  halton bvh-halton  340.751993219  UbuntuNative  3  MaquinaChen
teapot-metal-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  332.602829586  UbuntuNative  3  MaquinaChen
bidir-bvh-sobol.pbrt  bvh  sobol bvh-sobol  887.706761901  UbuntuNative  3  MaquinaChen
teapot-metal-kdtree-halton.pbrt  kdtree  halton kdtree-halton  370.663734080  UbuntuNative  3  MaquinaChen
bidir-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  1207.755581790  UbuntuNative  3  MaquinaChen
buddha-fractal-kdtree-halton.pbrt  kdtree  halton kdtree-halton  220.997578896  UbuntuNative  3  MaquinaChen
teapot-metal-bvh-sobol.pbrt  bvh  sobol bvh-sobol  334.635765945  UbuntuNative  3  MaquinaChen
bidir-bvh-halton.pbrt  bvh  halton bvh-halton  887.716140981  UbuntuNative  3  MaquinaChen
spotfog-kdtree-halton.pbrt  kdtree  halton kdtree-halton  305.690815866  UbuntuNative  3  MaquinaChen
